type	cell_class	hemilineage	systematicType	subclass	somaNeuromere	birthtime	celltypePredictedNt	count	common_target	common_origin	common_entryNerve	common_exitNerve	common_longTract
AN00A002	{'ascending neuron'}	{'00A'}	{'AN00A002'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	1	{'multi'}	{'multi'}	set()	{'CvC'}	{'CVL'}
AN00A006	{'ascending neuron'}	{'00A'}	{'AN00A006'}	{'BA'}	{'A3', 'A2', 'T3', 'A1', 'A4'}	{'primary'}	{'glutamate'}	5	{'multi'}	set()	set()	{'CvC'}	{'MDA'}
AN00A009	{'ascending neuron'}	{'00A'}	{'AN00A009'}	{'BA'}	{'T1'}	{'primary'}	{'gaba'}	1	{'LegNpT1'}	{'LegNpT1'}	set()	{'CvC'}	{'VTV'}
AN01A001	{'ascending neuron'}	{'01A'}	{'AN01A001'}	{'BA'}	{'A1'}	{'primary'}	{'acetylcholine'}	2	set()	{'LegNpT3'}	set()	{'CvC'}	{'DMT'}
AN01A006	{'ascending neuron'}	{'01A'}	{'AN01A006'}	{'CA'}	{'A2'}	{'primary'}	{'acetylcholine'}	2	set()	set()	set()	{'CvC'}	{'CVL'}
AN01A014	{'ascending neuron'}	{'01A'}	{'AN01A014'}	{'BA'}	{'T1'}	{'primary'}	{'acetylcholine'}	2	{'LegNpT1'}	{'LegNpT1'}	set()	{'CvC'}	set()
AN01A021	{'ascending neuron'}	{'01A'}	{'AN01A021'}	{'BA'}	{'A2'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	set()	{'CvC'}	{'CVL'}
AN01A033	{'ascending neuron'}	{'01A'}	{'AN01A033'}	{'BA'}	{'T1'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	set()	{'CvC'}	{'VTV'}
AN01A049	{'ascending neuron'}	{'01A'}	{'AN01A049'}	{'IA'}	{'T1'}	{'primary'}	{'acetylcholine'}	2	{'multi'}	{'multi'}	set()	{'CvC'}	{'VTV'}
AN01A055	{'ascending neuron'}	{'01A'}	{'AN01A055'}	{'XA'}	{'T1'}	{'primary'}	{'glutamate'}	4	{'brain'}	{'brain'}	set()	{'CvC'}	{'VTV'}
