broad_type	text	FBbt_id	FBbt_name
Cm	central medulla intrinsic	FBbt:00053287	central medulla intrinsic neuron
LC	lobula columnar	FBbt:00003870	lobula columnar neuron
Li	lobula intrinsic	FBbt:00003882	lobula intrinsic neuron
LoVC	lobula visual centrifugal	FBbt:00059244	adult visual centrifugal neuron
LoVP	lobula visual projection	FBbt:00048286	adult visual projection neuron
LT	lobula tangential	FBbt:00003859	lobula tangential neuron
MeVP	medulla visual projection	FBbt:00048286	adult visual projection neuron
Mi	medulla intrinsic	FBbt:00053385	medulla intrinsic neuron
OLVC	visual centrifugal	FBbt:00059244	adult visual centrifugal neuron
Pm	proximal medulla intrinsic	FBbt:00003832	proximal medullary amacrine neuron
TmY	transmedullary Y	FBbt:00003817	transmedullary Y neuron
