FBbt_id	OL_type	Matsliah_type	Schlegel_type	hemibrain_type	OL	Matsliah	matched_as	jigsaw	LM	additional_parents	transmitter_pred	creation_date
FBbt:20001934	LoVP26		LTe65	PS179|PS273	6		1-to-1		n			2020-07-30T12:00:00Z
FBbt:20003958	MeVPMe7		MeMe_e09		1		1-to-1		n	FBbt:00007577	glutamate	2024-04-24T12:00:00Z
FBbt:20004126	MeVPMe10		MeMe_e10		2		1-to-1		n	FBbt:00007577		2024-04-24T12:00:00Z
FBbt:20007207	LoVP81		CB3790						n			2024-02-05T12:00:00Z
FBbt:20007230	Li20		CB3815						n			2024-02-05T12:00:00Z
FBbt:20007232	Cm21	Sm30	CB3817						n			2024-02-05T12:00:00Z
FBbt:20007236	MeLo14	LMt3	CB3821						n			2024-02-05T12:00:00Z
FBbt:20007237	LOLP1	LLPt	CB3822						n			2024-02-05T12:00:00Z
FBbt:20007238	Li23		CB3823						n			2024-02-05T12:00:00Z
FBbt:20007239	MeLo8	LMa2	CB3824						n			2024-02-05T12:00:00Z
FBbt:20007243	Li34		CB3828						n			2024-02-05T12:00:00Z
FBbt:20007244	Li15		CB3829						n			2024-02-05T12:00:00Z
FBbt:20007245	Li25		CB3830						n			2024-02-05T12:00:00Z
FBbt:20007246	Li26		CB3831						n			2024-02-05T12:00:00Z
FBbt:20007249	MeLo10	MLt2	CB3834						n			2024-02-05T12:00:00Z
FBbt:20007250	Li29		CB3835						n			2024-02-05T12:00:00Z
FBbt:20007252	Li18a		CB3837						n			2024-02-05T12:00:00Z
FBbt:20007255	Li17		CB3840						n			2024-02-05T12:00:00Z
FBbt:20007256	Cm31a	Sm41	CB3841						n			2024-02-05T12:00:00Z
FBbt:20007258	Cm35	Sm40	CB3843						n			2024-02-05T12:00:00Z
FBbt:20007259	Cm32	Sm36	CB3844						n			2024-02-05T12:00:00Z
FBbt:20007263	Li21		CB3848						n			2024-02-05T12:00:00Z
FBbt:20007268	Cm13	Sm22	CB3853						n			2024-02-05T12:00:00Z
FBbt:20007275	LoVC25		cL01						n			2024-02-05T12:00:00Z
FBbt:20007276	LoVC26		cL02a						n			2024-02-05T12:00:00Z
FBbt:20007277	LoVC27		cL02b						n			2024-02-05T12:00:00Z
FBbt:20007278	LoVC24		cL03						n			2024-02-05T12:00:00Z
FBbt:20007280	LT46		cL05						n			2024-02-05T12:00:00Z
FBbt:20007281	LoVC9		cL06						n			2024-02-05T12:00:00Z
FBbt:20007282	LoVP108		cL07						n			2024-02-05T12:00:00Z
FBbt:20007284	LoVC13		cL09						n			2024-02-05T12:00:00Z
FBbt:20007285	LoVP96		cL10						n			2024-02-05T12:00:00Z
FBbt:20007287	OLVC7		cLLPM01						n			2024-02-05T12:00:00Z
FBbt:20007291	OLVC6		cLPL01						n			2024-02-05T12:00:00Z
FBbt:20007292	MeVC8		cM01a						n			2024-02-05T12:00:00Z
FBbt:20007293	MeVC7a		cM01b						n			2024-02-05T12:00:00Z
FBbt:20007294	MeVC7b		cM01c						n			2024-02-05T12:00:00Z
FBbt:20007298	MeVC1		cM05						n			2024-02-05T12:00:00Z
FBbt:20007300	MeVC23		cM07						n			2024-02-05T12:00:00Z
FBbt:20007303	LT88		cM10						n			2024-02-05T12:00:00Z
FBbt:20007305	MeVC25		cML01						n			2024-02-05T12:00:00Z
FBbt:20007555	LoVP13		LCe03						n			2024-02-05T12:00:00Z
FBbt:20007556	LoVP12		LCe04						n			2024-02-05T12:00:00Z
FBbt:20007557	LoVP7		LCe05						n			2024-02-05T12:00:00Z
FBbt:20007558	LoVP93		LCe06						n			2024-02-05T12:00:00Z
FBbt:20007560	LoVP3		LCe08						n			2024-02-05T12:00:00Z
FBbt:20007561	LoVP9		LCe09						n			2024-02-05T12:00:00Z
FBbt:20007562	LoVP32		LTe01						n			2024-02-05T12:00:00Z
FBbt:20007563	LoVP71		LTe02						n			2024-02-05T12:00:00Z
FBbt:20007564	LoVP89		LTe03						n			2024-02-05T12:00:00Z
FBbt:20007565	LoVP41		LTe04						n			2024-02-05T12:00:00Z
FBbt:20007566	LoVP36		LTe05						n			2024-02-05T12:00:00Z
FBbt:20007567	LoVP57		LTe06						n			2024-02-05T12:00:00Z
FBbt:20007568	LoVP30		LTe07						n			2024-02-05T12:00:00Z
FBbt:20007569	LoVP106		LTe08						n			2024-02-05T12:00:00Z
FBbt:20007570	LoVP8		LTe09						n			2024-02-05T12:00:00Z
FBbt:20007571	LoVP69		LTe10						n			2024-02-05T12:00:00Z
FBbt:20007572	LoVP78		LTe11						n			2024-02-05T12:00:00Z
FBbt:20007574	LoVP53		LTe13						n			2024-02-05T12:00:00Z
FBbt:20007575	LoVP103		LTe14						n			2024-02-05T12:00:00Z
FBbt:20007576	LoVP49		LTe15						n			2024-02-05T12:00:00Z
FBbt:20007577	LoVP107		LTe16						n			2024-02-05T12:00:00Z
FBbt:20007578	LoVP47		LTe17						n			2024-02-05T12:00:00Z
FBbt:20007579	LoVP85		LTe18						n			2024-02-05T12:00:00Z
FBbt:20007580	LoVP86		LTe19						n			2024-02-05T12:00:00Z
FBbt:20007581	LoVP54		LTe20						n			2024-02-05T12:00:00Z
FBbt:20007582	LoVP101		LTe21						n			2024-02-05T12:00:00Z
FBbt:20007584	LoVP73		LTe23						n			2024-02-05T12:00:00Z
FBbt:20007585	LoVP59		LTe24						n			2024-02-05T12:00:00Z
FBbt:20007586	LoVP42		LTe25						n			2024-02-05T12:00:00Z
FBbt:20007588	LoVP29		LTe27						n			2024-02-05T12:00:00Z
FBbt:20007589	LoVP34		LTe28						n			2024-02-05T12:00:00Z
FBbt:20007590	LoVP99		LTe29						n			2024-02-05T12:00:00Z
FBbt:20007591	LoVP72		LTe30						n			2024-02-05T12:00:00Z
FBbt:20007592	LoVP48		LTe31						n			2024-02-05T12:00:00Z
FBbt:20007596	LoVP58		LTe35						n			2024-02-05T12:00:00Z
FBbt:20007597	LoVP68		LTe36						n			2024-02-05T12:00:00Z
FBbt:20007602	MeVPMe9		MeMe_e01						n			2024-02-05T12:00:00Z
FBbt:20007604	MeVPMe6		MeMe_e03						n			2024-02-05T12:00:00Z
FBbt:20007605	MeVPMe8		MeMe_e04						n			2024-02-05T12:00:00Z
FBbt:20007606	MeVPMe3		MeMe_e05						n			2024-02-05T12:00:00Z
FBbt:20007607	MeVPMe4		MeMe_e06						n			2024-02-05T12:00:00Z
FBbt:20007611	MeVP2		MTe02						n			2024-02-05T12:00:00Z
FBbt:20007617	MeVP17		MTe08						n			2024-02-05T12:00:00Z
FBbt:20007618	MeVP16		MTe09						n			2024-02-05T12:00:00Z
FBbt:20007622	MeVP18		MTe13						n			2024-02-05T12:00:00Z
FBbt:20007623	MeVP22		MTe14						n			2024-02-05T12:00:00Z
FBbt:20007625	MeVP46		MTe16						n			2024-02-05T12:00:00Z
FBbt:20007628	MeVP57		MTe19						n			2024-02-05T12:00:00Z
FBbt:20007629	MeVP39		MTe20						n			2024-02-05T12:00:00Z
FBbt:20007630	MeVP31		MTe21						n			2024-02-05T12:00:00Z
FBbt:20007631	MeVP30		MTe22						n			2024-02-05T12:00:00Z
FBbt:20007633	MeVP35		MTe24						n			2024-02-05T12:00:00Z
FBbt:20007634	MeVP32		MTe25						n			2024-02-05T12:00:00Z
FBbt:20007635	MeVP33		MTe26						n			2024-02-05T12:00:00Z
FBbt:20007637	MeVP29		MTe28						n			2024-02-05T12:00:00Z
FBbt:20007638	MeVP56		MTe29						n			2024-02-05T12:00:00Z
FBbt:20007639	MeVP41		MTe30						n			2024-02-05T12:00:00Z
FBbt:20007640	MeVP48		MTe31						n			2024-02-05T12:00:00Z
FBbt:20007642	MeVP47		MTe33						n			2024-02-05T12:00:00Z
FBbt:20007644	MeVP52		MTe35						n			2024-02-05T12:00:00Z
FBbt:20007645	MeVP61		MTe36						n			2024-02-05T12:00:00Z
FBbt:20007646	MeVP45		MTe37						n			2024-02-05T12:00:00Z
FBbt:20007647	MeVP25		MTe38						n			2024-02-05T12:00:00Z
FBbt:20007648	MeVP60		MTe39						n			2024-02-05T12:00:00Z
FBbt:20007649	MeVP43		MTe40						n			2024-02-05T12:00:00Z
FBbt:20007650	MeVP53		MTe41						n			2024-02-05T12:00:00Z
FBbt:20007652	MeVP51		MTe43						n			2024-02-05T12:00:00Z
FBbt:20007653	MeVP24		MTe44						n			2024-02-05T12:00:00Z
FBbt:20007655	MeVPaMe1		MTe46						n			2024-02-05T12:00:00Z
FBbt:20007656	MeVPLo1		MTe47						n			2024-02-05T12:00:00Z
FBbt:20007658	MeVP27		MTe49						n			2024-02-05T12:00:00Z
FBbt:20007669	MeVC5		cM02a						n			2024-02-05T12:00:00Z
FBbt:20011362	Cm1	Sm02			231	195	1-to-1		y		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011363	Cm10	Sm10			45	43	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011364	Cm15	Sm13			22	20	1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011365	Cm16	Sm14			17	18	1-to-1		n		glutamate	2025-04-28T12:00:00Z
FBbt:20011366	Cm17	Sm27			16	7	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011367	Cm18				14		unmatched		n			2025-04-28T12:00:00Z
FBbt:20011368	Cm19	Sm31			14	12	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011369	Cm2	Sm01			203	143	1-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011370	Cm20	Sm17			13	24	2-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011371	Cm22	Sm17			10	24	2-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011372	Cm23	Sm25			8	9	1-to-1		n		glutamate	2025-04-28T12:00:00Z
FBbt:20011373	Cm24	Sm29			5	5	1-to-1		n		glutamate	2025-04-28T12:00:00Z
FBbt:20011374	Cm25	Sm33			3	3	1-to-1		y			2025-04-28T12:00:00Z
FBbt:20011375	Cm26				6		unmatched		n			2025-04-28T12:00:00Z
FBbt:20011376	Cm27	Sm24			5	4	1-to-1		n		glutamate	2025-04-28T12:00:00Z
FBbt:20011377	Cm28	Sm34			6	6	1-to-1		n			2025-04-28T12:00:00Z
FBbt:20011378	Cm29	Sm37			3	1	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011379	Cm3	Sm07	Dm21		167	153	1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011380	Cm31b	Sm42			1	1	1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011381	Cm34	Sm43			1	1	1-to-1		n			2025-04-28T12:00:00Z
FBbt:20011382	Cm4	Sm03			126	94	1-to-1		n		glutamate	2025-04-28T12:00:00Z
FBbt:20011383	Cm5	Sm08	Dm21		109	81	1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011384	Cm6	Sm06			106	81	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011385	Cm7	Sm09	Dm21		93	83	1-to-1		n			2025-04-28T12:00:00Z
FBbt:20011386	Cm9	Sm15	Dm21		73	53	1-to-1		n			2025-04-28T12:00:00Z
FBbt:20011387	LC28				31		1-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011388	LC29				19		1-to-1		y		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011389	LC31a				16		1-to-1		y		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011390	LC31b				6		1-to-2		y			2025-04-28T12:00:00Z
FBbt:20011391	LC34				6		1-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011392	LC35a				5		2-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011393	LC35b				1		2-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011394	LC36				16		1-to-1		y		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011395	LC37				8		1-to-1		y		glutamate	2025-04-28T12:00:00Z
FBbt:20011396	LC39a				3		2-to-1		n		glutamate	2025-04-28T12:00:00Z
FBbt:20011397	LC39b				1		2-to-1		n			2025-04-28T12:00:00Z
FBbt:20011398	LC40				15		1-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011399	LC41				6		1-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011400	LC43				6		1-to-1		y			2025-04-28T12:00:00Z
FBbt:20011401	LC44				3		1-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011402	LC46b				5		1-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011403	Li11a	Li25	Li11	Li11	2	2	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011404	Li11b	Li19	Li11	Li11	2	2	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011405	Li12	Li27			2	2	1-to-1	y	n		glutamate	2025-04-28T12:00:00Z
FBbt:20011406	Li13	Li13			33	32	1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011407	Li16	Li28			2	2	1-to-1	y	n		glutamate	2025-04-28T12:00:00Z
FBbt:20011408	Li18b	Li04			17	16	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011409	Li19	Li18			26	15	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011410	Li22	Li01			119	84	1-to-1		n		glutamate	2025-04-28T12:00:00Z
FBbt:20011411	Li27	Li03			58	46	1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011412	Li30	Li24			6	6	1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011413	Li31	LLpt101_L56-Lp2			1	1	1-to-1		y		glutamate	2025-04-28T12:00:00Z
FBbt:20011414	Li32	Li31			1	1	1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011415	Li33	Li29			1	1	1-to-1		n		acetylcholine	2025-04-28T12:00:00Z
FBbt:20011416	Li35	Li07			13	10	1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011417	Li36	Li23			1	1	1-to-1		n			2025-04-28T12:00:00Z
FBbt:20011418	Li37				1		unmatched		n			2025-04-28T12:00:00Z
FBbt:20011419	Li38	Li30	mALC1	mALC1	1	1	1-to-1		n			2025-04-28T12:00:00Z
FBbt:20011420	Li39	Li32	mALC2	mALC2	1	1	1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011421	LoVC14		mALC4	mALC4	1		1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011422	LoVC17		LT38	LT38	2		1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011423	LoVC20		mALD2	mALD2	1		1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011424	LoVC21		mALC3	mALC3	1		1-to-1		n		GABA	2025-04-28T12:00:00Z
FBbt:20011425	LoVC23		mALC6	mALC6	2		1-to-1		y		GABA	2025-04-28T12:00:00Z
FBbt:20011426	LoVP10		LC45	LC45a|LC45b	9		2-to-1		n			2025-04-28T12:00:00Z
FBbt:20011427	LoVP11		LC45	LC45a|LC45b	4		2-to-1		n			2025-04-28T12:00:00Z
